transgenic_line,neurotransmitter,reporter_status,dendrite_type,layer,threshold_v_noise,threshold_i_noise,peak_v_noise,peak_i_noise,trough_v_noise,trough_i_noise,upstroke_noise,upstroke_v_noise,downstroke_noise,downstroke_v_noise,fast_trough_v_noise,fast_trough_i_noise,width_noise,upstroke_downstroke_ratio_noise,f_i_curve_slope,fast_trough_v_long_square,fast_trough_v_ramp,fast_trough_v_short_square,input_resistance_mohm,latency,peak_v_long_square,peak_v_ramp,peak_v_short_square,ri,sag,seal_gohm,tau,threshold_i_long_square,threshold_i_ramp,threshold_i_short_square,threshold_v_long_square,threshold_v_ramp,threshold_v_short_square,trough_v_long_square,trough_v_ramp,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,vm_for_sag,vrest,file_name
Sst+,GABAergic,positive,aspiny,L5,-33.49095917,536.0259399,28.835495,537.7398071,-55.97896957,531.0141602,299.7648177,-0.5355739,-217.1339253,-1.393081784,-55.65113831,537.1422729,0.000481509,1.372739146,0.020383693,-59.1875,-57.4375,-62.60000381,143.634288,0.02714,35.37500381,31.34375,34.66250076,119.9776754,0.054033205,1.317484032,11.29109001,270,343.125,800,-36.28125,-33.8125,-43.50000229,-59.28125381,-57.46875381,-75.75625153,1.564027141,1.304348699,1.679550434,-87.90625763,-74.92698669,565871768_62
Pvalb+,GABAergic,positive,aspiny,L4,-38.6941185,463.6817627,17.99739075,464.4399109,-56.63785553,462.3518372,360.1133075,-6.811608791,-274.2234882,-7.690109253,-56.43297958,465.101593,0.000316813,1.315004424,1.156788512,-55.68750381,-52.390625,-57.54687691,129.903104,0.01187,14.84375095,19.00000191,27.54687595,65.62499702,0.096597776,1.044560512,4.12168919,290,268.5625,270,-31.78125191,-29.18750095,-44.046875,-55.875,-52.51562691,-69.10937881,1.162618357,1.197155489,1.369171359,-80.15625,-72.04297638,469801138_58
Pvalb+,GABAergic,positive,aspiny,L2/L3,-32.41693497,457.6164551,22.21073723,456.7980652,-47.57238388,355.9198608,210.4602989,-2.773237228,-52.18794088,4.122596264,-43.58894348,424.087616,0.001042051,4.060155791,0.191853299,-47.09375381,-51.44791921,-55.98958588,173.215264,0.07472,16.78125,23.05208397,27.77083492,102.9687077,0.030460119,2.283348992,5.166573726,280,185.0833333,720,-28.78125191,-32.31250254,-38.19791794,-48.1875,-54.36458588,-72.64062754,3.379321065,4.10877446,2.68013895,-83.59375763,-72.71203613,605889373_67
Htr3a+|Vip-,GABAergic,positive,aspiny,L2/L3,-30.26470566,195.4264679,11.92463207,195.6029358,-48.98713303,161.4926453,196.6723329,-10.97794151,-96.91083736,-4.700367451,-45.46875,193.8161774,0.000658824,2.015052074,0.029298942,-48.59375381,,-51.63281536,268.823776,0.00878,23.62500191,,26.98437548,233.2811654,0.370840907,1.09139328,11.65731533,110,,280,-32.53125,,-41.26562595,-48.59375381,,-63.25781441,2.132315714,,2.185564378,-87.65625,-62.05558014,583836069_40
Glutamatergic,Glutamatergic,positive,spiny,L5,-37.54127502,121.45755,41.82429123,121.3183975,-53.32783127,98.99528503,334.8208464,3.641509533,-91.20233376,16.55306625,-43.49528122,119.95047,0.000850189,3.668570335,0.177671233,-45.84375381,-47.14583588,-51.70000229,214.522896,0.04876,45.56250381,48.55208333,45.92500153,164.0625298,0.2195701,1.727256704,18.35345851,70,58.625,720,-38.09375381,-38.69791794,-45.30625153,-57.28125381,-56.40625254,-70.53750153,4.0599946,4.121745379,4.017244325,-87.09375763,-69.3629837,504615116_56
Glutamatergic,Glutamatergic,positive,spiny,L6b,-39.36812592,272.0299988,36.27562332,271.2399902,-51.36437607,200.1974945,274.55946,-2.106874943,-50.1528755,19.59812546,-45.65062332,251.3999939,0.0013656,5.563229878,0.13098803,-48.62500381,-48.32291794,-50.65104357,159.199344,0.08974,46.4375,42.8958346,39.95833397,125.9374171,0.037685499,1.667093504,13.71930534,110,103.375,600,-41.5625,-42.8958346,-45.30729357,-54.50000381,-54.83333588,-70.61458588,5.164409031,5.124496984,4.561945476,-84.93750763,-70.49714661,558076716_60
Glutamatergic,Glutamatergic,positive,spiny,L4,-34.32857132,270.5750122,32.1517868,270.1357117,-53.9196434,191.0857086,323.1535023,-0.44910714,-99.42062935,15.99821472,-43.54999924,245.5678558,0.000695857,3.247707066,0.139336926,-44.46875381,-45.19791921,-46.58750229,105.98664,0.059385,35.78125381,38.69791794,43.70000305,95.17855197,0.031620521,1.063487616,25.21616569,130,119.5833232,424,-36.65625381,-35.8958346,-48.55625153,-54.28125381,-55.65625381,-75.0625,3.386316592,3.171764043,3.857028645,-87.00000763,-75.06613159,476135066_51
Glutamatergic,Glutamatergic,positive,spiny,L4,-40.36820602,252.3831482,22.41915703,251.842392,-57.48981094,189.2744598,249.8994487,-8.219429016,-64.4209181,6.843070507,-52.52581406,239.3396759,0.001046522,3.93714072,0.15546875,-51.375,-48.46875381,-53.11875,174.659088,0.04306,33.1875,33.52083588,33.11250229,214.0625715,0.031604268,1.0209248,28.17953625,90,71.29166667,800,-38.1875,-35.04166921,-46.70625381,-55.00000381,-53.50000127,-71.26250458,3.940221332,3.511122221,3.560240671,-94.00000763,-70.15784454,502614426_42
Pvalb+,GABAergic,positive,aspiny,L2/L3,-34.61350632,519.2940674,14.51928806,520.1602173,-52.26633072,517.7814331,256.1595445,-9.662163734,-184.6309344,-6.872714996,-52.1110878,520.1201782,0.000443269,1.386494591,0.794242504,-54.65625381,-55.02083715,-59.48750153,136.85368,0.03448,13.9375,16.04166698,22.17500038,84.68738198,0.004560183,1.453630976,8.394707543,330,283.4583333,780,-32.03125381,-31.94791857,-44.60625153,-54.75000381,-55.11458715,-73.75000458,1.282149067,1.291669784,1.452116013,-82.03125763,-72.58553314,581020172_68
Pvalb+,GABAergic,positive,aspiny,L5,-35.16367722,453.3935547,16.12243652,454.7238464,-57.83782578,454.5129089,320.0591874,-7.150150299,-247.9164665,-9.734220505,-57.67790985,456.2337341,0.000356987,1.289250576,1.472364717,-60.15625381,-57.61458588,-62.11250305,176.425456,0.005955,22.00000191,16.70833429,24.58125114,164.6874696,0.022095369,1.39900672,9.265347501,290,231.2916667,312,-32.03125381,-28.94791857,-41.48125076,-60.25000381,-57.76041921,-71.41250458,1.263915585,1.175937695,1.39711739,-99.62500763,-70.64434052,481127932_64
Glutamatergic,Glutamatergic,positive,spiny,L4,-35.73249817,79.99500275,35.73875046,79.97000122,-56.01124954,60.41999817,323.9139942,-5.056250095,-95.38614108,11.34875011,-47.23749924,79.42500305,0.0008424,3.396229729,0.199214145,-48.5,-48.54166667,-49.8020846,165.931616,0.05784,37.53125381,33.93750127,30.1770846,230.0446779,0.032344256,1.174152448,35.84129168,50,53.79166794,700,-36.15625381,-37.05208588,-42.64583588,-55.90625,-54.17708588,-74.29167175,3.522291795,3.132354243,2.989391061,-98.4375,-73.20832825,480087928_49
Htr3a+|Vip-,GABAergic,positive,aspiny,L2/L3,-36.77509308,173.905304,24.41524696,172.9659119,-57.84375,141.8996277,269.6941471,-7.192708492,-54.76780957,-9.036458015,-54.09280396,161.5,0.001137879,4.954614532,0.17500001,-56.90625381,-53.09375381,-58.40000305,294.03296,0.04234,25.50000191,26.76041794,29.28125114,192.4553514,0.047018401,1.365867776,10.33671799,110,86.16666667,520,-36.65625381,-34.77083588,-38.16250153,-59.06250381,-57.28125381,-75.28125458,4.473812989,4.224851238,2.916723754,-96.28125,-75.08994293,522257166_47
Htr3a+|Vip-,GABAergic,positive,aspiny,L4,-41.6049118,65.29463959,15.6473217,64.9732132,-57.8325882,47.00893021,297.9035921,-9.091517448,-159.4542052,-6.042410851,-54.8638382,63.32143021,0.0004775,1.859497332,0.016193853,-59.78125,,-60.78125076,215.16488,0.00799,28.1875,,36.45625076,259.218812,0.120430812,2.356759808,15.42817795,40,,180,-43.84375,,-47.28125,-59.90625,,-67.01250153,1.861405916,,1.83421609,-95.03125763,-67.18092346,327970859_36
Vip+,GABAergic,positive,aspiny,L6b,-36.8174324,50.51644897,11.45394707,50.21052551,-51.109375,40.42434311,140.2920701,-16.18667793,-60.93082625,-8.123354912,-49.36266327,48.69408035,0.001066316,2.292115594,0.043712576,-51.21875,-56.42187881,-59.42969131,565.300608,0.0134,-0.90625006,41.25000191,42.54687691,287.0312929,0.021590469,1.012008448,16.45325719,30,14.93749905,220,-43.50000381,-42.56250191,-42.97656441,-51.375,-56.53125191,-66.55469131,2.493936739,2.618538927,2.701300419,-98.93750763,-66.09343719,591517805_46
Glutamatergic,Glutamatergic,positive,spiny,L2/L3,-37.62546539,399.7015076,37.06949615,399.4029846,-53.35354614,310.5783691,363.4301525,-3.725279808,-91.76149698,12.34981346,-47.76912308,388.8805847,0.00086209,4.041931329,0.031354356,-47.78125,-49.41666921,-51.67187754,217.039808,0.04106,40.28125,44.38541794,45.8958346,134.6875429,0.029723564,1.500039552,15.40007608,150,102.5,850,-36.15625381,-35.11458588,-46.57291921,-51.03125381,-54.59375127,-81.86979675,3.631511898,3.514419133,4.300414036,-96.59375,-81.16104889,513593674_67
Htr3a+|Vip-,GABAergic,positive,aspiny,L2/L3,-34.78338242,65.5880661,14.99076748,65.33238983,-52.01278305,50.51988602,244.2700125,-13.96022701,-99.04693835,-5.339488506,-47.13494492,64.1931839,0.000664545,2.440201231,0.024127907,-50.15625,-48.17187691,-50.46250305,488.886816,0.01658,24.37500191,27.68750191,27.56250076,283.593744,0.223368838,2.50825472,16.31251496,40,38.8125,300,-38.75,-34.546875,-40.62500229,-50.21875381,-48.28125191,-71.2,2.732948157,2.673441888,2.795584303,-101.8125076,-70.67703247,583822407_54
Vip+,GABAergic,positive,aspiny,L6b,-34.07190704,76.6553421,31.47299767,76.19538879,-45.13501358,66.70874023,222.8606569,1.594053388,-88.82407222,8.837985039,-43.59951401,74.18082428,0.00085835,2.430692242,0.019196429,-49.46875381,-48.26562691,-56.87500218,259.695984,0.0217,46.31250381,46.18750191,46.45982306,231.8750322,0.080856569,1.131306752,18.35636858,50,40.9375,320,-39.8125,-39.203125,-42.18750272,-49.65625381,-48.48437691,-65.31696538,3.423510075,3.475019987,3.185284639,-89.78125763,-64.70305634,585080288_41
Sst+,GABAergic,positive,aspiny,L5,-43.66210938,51.6640625,23.26367188,51.390625,-62.8046875,45.1640625,219.2148577,-9.60546875,-125.5184681,-8.642578125,-61.79492569,50.2890625,0.0007575,1.744462403,0.122592591,-62.46875381,-59.97917048,-63.54375076,280.244416,0.02592,25.4375,21.1041673,17.24375114,322.1875429,0.016070565,1.08599296,37.81836727,30,22.70833333,300,-45.53125,-46.07291794,-47.69375076,-62.62500763,-60.14583588,-67.78750458,1.970944069,1.919845353,1.770096,-99.28125,-67.04716492,572410577_57
Glutamatergic,Glutamatergic,positive,spiny,L4,-41.27941132,171.6470642,34.22242737,171.2242584,-62.24816132,132.0183868,383.2885272,-6.832720757,-125.070148,9.903492928,-54.34191132,166.5404358,0.000690882,3.063358758,0.227150547,-54.09375381,-52.61458715,-53.93750305,142.898272,0.037945,35.1875,35.53125,37.11250153,179.6874702,0.032512009,2.195178496,26.75629188,100,85.54166667,900,-42.28125,-39.23958588,-50.25000229,-60.65625381,-58.97917048,-80.86250153,3.27833412,3.049282091,3.71275261,-99.18750763,-80.12949371,470098860_50
Pvalb+,GABAergic,positive,aspiny,L5,-39.02304459,209.0088348,38.78219604,208.7563171,-53.86774063,183.0239868,364.4721331,3.089646578,-112.9351227,17.11079597,-52.73674393,204.1477203,0.000724242,3.23671838,0.265588246,-53.37500381,-51.56250381,-56.42708715,208.152768,0.10786,39.68750381,40.1875,42.31250381,174.999997,0.028426293,1.633232384,10.75325853,130,105.625,440,-39.8125,-38.31250381,-42.03125254,-54.09375381,-54.18750381,-68.9479243,3.037247196,3.266378121,2.766931185,-80.65625,-68.08872223,580537822_49
